iso_code,continent,location,date,total_cases,total_cases_per_million,total_deaths,total_deaths_per_million,icu_patients_per_million,hosp_patients_per_million,total_tests_per_thousand,total_vaccinations_per_hundred,people_vaccinated_per_hundred,human_development_index,stringency_index,gdp_per_capita
RWA,Africa,Rwanda,2023-02-15,133170.0,9666.319,1468.0,106.557,,,,,,0.543,,1854.211
SHN,Africa,Saint Helena,2023-02-15,2166.0,401036.845,,,,,,,,,,
KNA,North America,Saint Kitts and Nevis,2023-02-15,6596.0,138336.025,46.0,964.745,,,,,,0.779,,24654.385
LCA,North America,Saint Lucia,2023-02-15,29882.0,166129.247,409.0,2273.839,,,,,,0.759,,12951.839
SPM,North America,Saint Pierre and Miquelon,2023-02-15,3452.0,586576.041,2.0,339.847,,,,,,,,
VCT,North America,Saint Vincent and the Grenadines,2023-02-15,9589.0,92238.286,123.0,1183.159,,,,,,0.738,,10727.146
WSM,Oceania,Samoa,2023-02-15,16402.0,73753.316,29.0,130.402,,,,,,0.715,,6021.557
SMR,Europe,San Marino,2023-02-15,23494.0,697358.267,122.0,3621.253,,,,,,,,56861.47
STP,Africa,Sao Tome and Principe,2023-02-15,6280.0,27617.385,77.0,338.621,,,,,,0.625,,3052.714
SAU,Asia,Saudi Arabia,2023-02-15,828729.0,22761.762,9596.0,263.562,,,,,,0.854,,49045.411
SEN,Africa,Senegal,2023-02-15,88910.0,5134.424,1971.0,113.822,,,,,,0.512,,2470.58
SRB,Europe,Serbia,2023-02-15,2482090.0,361212.693,17749.0,2582.97,3.784,36.818,,,,0.806,,14048.881
SYC,Africa,Seychelles,2023-02-15,50665.0,472908.013,172.0,1605.451,,,,,,0.796,,26382.287
SLE,Africa,Sierra Leone,2023-02-15,7760.0,901.726,126.0,14.641,,,,,,0.452,,1390.3
SGP,Asia,Singapore,2023-02-15,2222006.0,394180.828,1722.0,305.48,,,,,,0.938,,85535.383
SXM,North America,Sint Maarten (Dutch part),2023-02-10,,,,,,,,151.77,67.41,,,36327.232
SVK,Europe,Slovakia,2023-02-15,2662918.0,471859.526,20989.0,3719.176,,,,,,0.86,,30155.152
SVN,Europe,Slovenia,2023-02-15,1324603.0,624859.011,7065.0,3332.794,,,,,,0.917,,31400.84
SLB,Oceania,Solomon Islands,2023-02-15,24575.0,33930.623,153.0,211.247,,,,,,0.567,,2205.923
SOM,Africa,Somalia,2023-02-15,27324.0,1552.72,1361.0,77.34,,,,,,,,
ZAF,Africa,South Africa,2023-02-15,4059348.0,67775.668,102595.0,1712.946,,,,,,0.709,,12294.876
KOR,Asia,South Korea,2023-02-15,30397220.0,586639.892,33804.0,652.388,,,,,86.55,0.916,,35938.374
SSD,Africa,South Sudan,2023-02-15,18368.0,1683.104,138.0,12.645,,,,,,0.433,,1569.888
ESP,Europe,Spain,2023-02-15,13748918.0,289094.06,118976.0,2501.67,,,,,,0.904,,34272.36
LKA,Asia,Sri Lanka,2023-02-15,672016.0,30781.027,16829.0,770.836,,,,,,0.782,,11669.077
SDN,Africa,Sudan,2023-02-15,63775.0,1360.557,5011.0,106.903,,,,,,0.51,,4466.507
SUR,South America,Suriname,2023-02-15,82227.0,133043.495,1400.0,2265.204,,,,,,0.738,,13767.119
SWE,Europe,Sweden,2023-02-15,2696168.0,255576.719,23563.0,2233.598,0.853,49.292,,,,0.945,,46949.283
CHE,Europe,Switzerland,2023-02-15,4409828.0,504529.79,14202.0,1624.855,,,,,,0.955,,57410.166
SYR,Asia,Syria,2023-02-15,57461.0,2597.079,3164.0,143.004,,,,,,0.567,,
TWN,Asia,Taiwan,2023-02-15,9862108.0,412754.554,17258.0,722.292,,,,279.61,91.5,,,
TJK,Asia,Tajikistan,2023-02-15,17786.0,1787.037,125.0,12.559,,,,,,0.668,,2896.913
TZA,Africa,Tanzania,2023-02-15,42775.0,653.076,846.0,12.916,,,,,,0.529,,2683.304
THA,Asia,Thailand,2023-02-15,4727628.0,65938.971,33894.0,472.739,,,,,,0.777,,16277.671
